feature,is_team_stat,mean_importance,mean_rank,min_rank,max_rank
h2h_home_win_rate_5,False,0.3046768713208824,115.125,46,225
round_number,False,0.3045278056052005,120.5,47,225
away_pf_trend_5,False,0.30386548409780056,120.625,68,215
ts_diff_offloads_average,True,0.2983107494832132,123.75,39,172
comp_points_ratio,False,0.2979173133536052,129.75,29,223
home_losses,False,0.29758613245350884,129.0,36,255
attack_defense_diff_3,False,0.2959168293296758,118.75,84,154
home_ts_all_run_metres_average,True,0.2955303633865356,120.625,63,172
home_ts_line_breaks_average,True,0.29258406091344774,134.625,33,262
market_confidence,False,0.2923889772562584,129.5,46,201
home_ts_line_engaged_average,True,0.2890151962918006,124.625,48,211
away_ts_all_receipts_average,True,0.2853154794973845,129.875,56,214
home_pa_trend_5,False,0.2848860015240451,140.625,34,228
ts_diff_handling_errors_average,True,0.284534926158175,140.25,34,250
home_avg_pf_3,False,0.28187740447860443,137.75,26,261
home_away_ppg,False,0.2818094901722744,132.75,55,176
ts_diff_line_engaged_average,True,0.2799599925365181,146.125,42,246
home_ts_ineffective_tackles_average,True,0.2796236269900019,130.75,71,181
away_ts_tackle_breaks_average,True,0.2770617551178106,133.625,60,222
away_defense_improving,False,0.2719963716021927,145.75,45,233
away_pa_trend_5,False,0.27095826185516636,137.375,53,228
avg_margin_diff_8,False,0.27072313976676754,138.625,63,240
away_ts_supports_average,True,0.26916495926688955,139.125,53,209
odds_movement_abs,False,0.26897520925729596,138.0,51,209
away_ts_ineffective_tackles_average,True,0.267414967382661,141.875,48,205
total_movement,False,0.2668925556730804,142.5,67,244
home_ts_conversion_pct_average,True,0.2662221064023816,135.0,90,170
ts_diff_try_assists_average,True,0.2645734541393683,137.0,84,213
home_strength,False,0.2639192680673972,135.75,88,204
ts_diff_goals_average,True,0.2631165177406667,149.75,50,249
away_attack_defense_3,False,0.260514850467988,143.0,71,227
h2h_matches_all,False,0.26006298223803126,139.0,45,253
away_team_away_win_pct,False,0.2580737169675593,144.25,55,244
away_avg_pf_3,False,0.2567998183408878,142.0,75,221
pf_trend_diff_8,False,0.25626045322566815,148.625,46,239
away_ts_missed_tackles_average,True,0.25477378700759523,146.5,62,248
away_pa_std_8,False,0.2525014756276869,152.875,33,262
away_ts_tackles_average,True,0.2489739715338125,144.625,68,232
home_elo,False,0.24827793168140458,146.125,82,214
home_ts_points_average,True,0.24748866010951187,151.25,48,241
away_elo,False,0.24633537126481897,155.0,42,249
away_ts_line_engaged_average,True,0.24619224334106385,152.5,42,236
ts_diff_tackle_breaks_average,True,0.24356634960030984,150.375,88,225
away_venue_win_rate,False,0.2425067865689559,149.75,69,217
away_scoring_cv_5,False,0.24198422753193832,151.125,64,223
home_avg_margin_5,False,0.24190425708562657,151.875,76,242
home_ts_goals_average,True,0.23942046495289684,153.25,90,254
home_defense_improving,False,0.23820128575497487,172.5,27,275
away_home_win_pct,False,0.2362358286895485,148.875,99,217
total_line_close,False,0.23359198409425144,154.625,74,201
home_ground_x_form,False,0.2335873854201793,153.625,74,245
ts_diff_ineffective_tackles_average,True,0.2330348482899561,158.5,52,233
scoring_cv_diff_5,False,0.2329895510443374,156.125,96,217
halftime_lead_diff,False,0.2329329780341478,157.5,66,256
home_form_momentum_3v5,False,0.232196729385677,162.625,35,267
home_competition_points,False,0.23095796345714684,158.375,94,230
away_ts_set_completion_pct_average,True,0.2308488127836629,156.125,92,200
away_losses,False,0.22980428919238005,157.125,64,225
away_avg_pa_8,False,0.2265259861838592,157.75,113,200
away_ts_kick_return_metres_average,True,0.22650726175285038,164.75,70,266
strength_diff,False,0.22647481192108312,160.0,71,239
away_ts_decoy_runs_average,True,0.2261013692574434,157.0,74,242
home_home_win_pct,False,0.2257325210976616,156.625,93,230
avg_margin_diff_3,False,0.22550207607606593,156.0,98,213
h2h_home_win_rate_all,False,0.22448135297191585,162.75,69,251
h2h_avg_margin_all,False,0.22394480965556982,171.125,45,260
ts_diff_points_average,True,0.22389547914722605,155.75,94,242
ts_diff_penalties_conceded_average,True,0.22304734429699022,162.625,59,254
pa_trend_diff_5,False,0.2229042094613753,161.5,79,240
home_win_rate_8,False,0.22213517306902741,159.875,78,237
away_form_momentum,False,0.22150910188801412,166.0,53,268
home_close_game_rate_8,False,0.22018536332672295,162.75,88,232
away_ts_errors_average,True,0.21992101030363526,161.25,100,192
home_team_home_win_pct,False,0.21953860059042923,160.375,71,248
away_ts_offloads_average,True,0.21924362920726298,160.5,110,241
h2h_home_win_rate_3,False,0.2191777544029658,161.5,113,215
day_of_week,False,0.21891615134903472,161.75,91,226
away_pf_trend_8,False,0.2183207690607213,162.75,110,221
away_away_ppg,False,0.21754981441566815,159.0,81,267
strong_team_rested,False,0.21682188370963013,165.625,55,227
away_avg_pa_3,False,0.21271364564207804,169.25,77,261
away_avg_margin_5,False,0.21213120060801116,170.375,50,215
close_game_diff_8,False,0.21211292427565953,172.0,75,253
home_ladder_pos,False,0.21061198613116824,163.625,73,266
pa_trend_diff_8,False,0.21018441312864203,169.5,53,254
home_ts_all_receipts_average,True,0.2100135262336132,174.0,62,221
home_ts_missed_tackles_average,True,0.20867066268378046,170.125,66,215
home_ts_penalties_conceded_average,True,0.2083488784668382,167.25,96,234
away_ts_goals_average,True,0.2083250282444287,173.375,81,243
away_ts_points_average,True,0.20715544445972423,170.75,86,235
home_wins,False,0.2067936119143207,169.75,111,254
total_line_open,False,0.2028628507387026,170.375,130,204
ts_diff_set_completion_pct_average,True,0.20177017086703175,172.125,73,257
