year,strategy,blend_weight,accuracy,n_games,correct,model_only_acc
2018,A: Baseline top50,0.0,0.6091370558375635,197,120,0.5786802030456852
2018,A: Baseline top50,0.1,0.6091370558375635,197,120,0.5786802030456852
2018,A: Baseline top50,0.2,0.6294416243654822,197,124,0.5786802030456852
2018,A: Baseline top50,0.28,0.6294416243654822,197,124,0.5786802030456852
2018,A: Baseline top50,0.35,0.6091370558375635,197,120,0.5786802030456852
2018,A: Baseline top50,0.45,0.5989847715736041,197,118,0.5786802030456852
2018,A: Baseline top50,0.55,0.6040609137055838,197,119,0.5786802030456852
2018,A: Baseline top50,0.65,0.5888324873096447,197,116,0.5786802030456852
2018,B: +TeamStats top50,0.0,0.6091370558375635,197,120,0.6294416243654822
2018,B: +TeamStats top50,0.1,0.6040609137055838,197,119,0.6294416243654822
2018,B: +TeamStats top50,0.2,0.6091370558375635,197,120,0.6294416243654822
2018,B: +TeamStats top50,0.28,0.6040609137055838,197,119,0.6294416243654822
2018,B: +TeamStats top50,0.35,0.6091370558375635,197,120,0.6294416243654822
2018,B: +TeamStats top50,0.45,0.6192893401015228,197,122,0.6294416243654822
2018,B: +TeamStats top50,0.55,0.6243654822335025,197,123,0.6294416243654822
2018,B: +TeamStats top50,0.65,0.6294416243654822,197,124,0.6294416243654822
2018,C: Hybrid 35+15,0.0,0.6091370558375635,197,120,0.583756345177665
2018,C: Hybrid 35+15,0.1,0.5989847715736041,197,118,0.583756345177665
2018,C: Hybrid 35+15,0.2,0.5989847715736041,197,118,0.583756345177665
2018,C: Hybrid 35+15,0.28,0.6040609137055838,197,119,0.583756345177665
2018,C: Hybrid 35+15,0.35,0.6142131979695431,197,120,0.583756345177665
2018,C: Hybrid 35+15,0.45,0.6192893401015228,197,122,0.583756345177665
2018,C: Hybrid 35+15,0.55,0.6243654822335025,197,123,0.583756345177665
2018,C: Hybrid 35+15,0.65,0.6192893401015228,197,122,0.583756345177665
2018,D: +TeamStats top60,0.0,0.6091370558375635,197,120,0.6345177664974619
2018,D: +TeamStats top60,0.1,0.5939086294416244,197,117,0.6345177664974619
2018,D: +TeamStats top60,0.2,0.5989847715736041,197,118,0.6345177664974619
2018,D: +TeamStats top60,0.28,0.6040609137055838,197,119,0.6345177664974619
2018,D: +TeamStats top60,0.35,0.6040609137055838,197,119,0.6345177664974619
2018,D: +TeamStats top60,0.45,0.6142131979695431,197,120,0.6345177664974619
2018,D: +TeamStats top60,0.55,0.6091370558375635,197,120,0.6345177664974619
2018,D: +TeamStats top60,0.65,0.6192893401015228,197,122,0.6345177664974619
2018,E: TeamStats only,0.0,0.6091370558375635,197,120,0.5939086294416244
2018,E: TeamStats only,0.1,0.6192893401015228,197,122,0.5939086294416244
2018,E: TeamStats only,0.2,0.6040609137055838,197,119,0.5939086294416244
2018,E: TeamStats only,0.28,0.6040609137055838,197,119,0.5939086294416244
2018,E: TeamStats only,0.35,0.5939086294416244,197,117,0.5939086294416244
2018,E: TeamStats only,0.45,0.5888324873096447,197,116,0.5939086294416244
2018,E: TeamStats only,0.55,0.5888324873096447,197,116,0.5939086294416244
2018,E: TeamStats only,0.65,0.5939086294416244,197,117,0.5939086294416244
2019,A: Baseline top50,0.0,0.6683673469387755,196,131,0.6224489795918368
2019,A: Baseline top50,0.1,0.6683673469387755,196,131,0.6224489795918368
2019,A: Baseline top50,0.2,0.6683673469387755,196,131,0.6224489795918368
2019,A: Baseline top50,0.28,0.6581632653061225,196,129,0.6224489795918368
2019,A: Baseline top50,0.35,0.673469387755102,196,132,0.6224489795918368
2019,A: Baseline top50,0.45,0.6683673469387755,196,131,0.6224489795918368
2019,A: Baseline top50,0.55,0.6479591836734694,196,127,0.6224489795918368
2019,A: Baseline top50,0.65,0.6428571428571429,196,126,0.6224489795918368
2019,B: +TeamStats top50,0.0,0.6683673469387755,196,131,0.6224489795918368
2019,B: +TeamStats top50,0.1,0.6632653061224489,196,130,0.6224489795918368
2019,B: +TeamStats top50,0.2,0.6632653061224489,196,130,0.6224489795918368
2019,B: +TeamStats top50,0.28,0.6530612244897959,196,127,0.6224489795918368
2019,B: +TeamStats top50,0.35,0.6530612244897959,196,127,0.6224489795918368
2019,B: +TeamStats top50,0.45,0.6377551020408163,196,125,0.6224489795918368
2019,B: +TeamStats top50,0.55,0.6377551020408163,196,125,0.6224489795918368
2019,B: +TeamStats top50,0.65,0.6224489795918368,196,122,0.6224489795918368
2019,C: Hybrid 35+15,0.0,0.6683673469387755,196,131,0.6275510204081632
2019,C: Hybrid 35+15,0.1,0.6683673469387755,196,131,0.6275510204081632
2019,C: Hybrid 35+15,0.2,0.6632653061224489,196,130,0.6275510204081632
2019,C: Hybrid 35+15,0.28,0.6683673469387755,196,131,0.6275510204081632
2019,C: Hybrid 35+15,0.35,0.6581632653061225,196,129,0.6275510204081632
2019,C: Hybrid 35+15,0.45,0.6479591836734694,196,127,0.6275510204081632
2019,C: Hybrid 35+15,0.55,0.6377551020408163,196,125,0.6275510204081632
2019,C: Hybrid 35+15,0.65,0.6326530612244898,196,124,0.6275510204081632
2019,D: +TeamStats top60,0.0,0.6683673469387755,196,131,0.6122448979591837
2019,D: +TeamStats top60,0.1,0.6632653061224489,196,130,0.6122448979591837
2019,D: +TeamStats top60,0.2,0.6581632653061225,196,129,0.6122448979591837
2019,D: +TeamStats top60,0.28,0.6479591836734694,196,127,0.6122448979591837
2019,D: +TeamStats top60,0.35,0.6785714285714286,196,133,0.6122448979591837
2019,D: +TeamStats top60,0.45,0.6530612244897959,196,127,0.6122448979591837
2019,D: +TeamStats top60,0.55,0.6479591836734694,196,127,0.6122448979591837
2019,D: +TeamStats top60,0.65,0.6326530612244898,196,124,0.6122448979591837
2019,E: TeamStats only,0.0,0.6683673469387755,196,131,0.5612244897959183
2019,E: TeamStats only,0.1,0.6632653061224489,196,130,0.5612244897959183
2019,E: TeamStats only,0.2,0.6428571428571429,196,126,0.5612244897959183
