Model,Accuracy,Log Loss,Brier,AUC
"OptBlend-Cal All9noLR+Odds (XGBoost=-0.068, LightGBM=-0.034, CatBoost=0.183, XGB_top60=-0.053, LGB_top60=0.042, CAT_top60=0.130, XGB_top30=0.100, CAT_top30=-0.270, RandomForest=0.181, odds=0.790)",0.6796523676207943,0.5980469618111566,0.2060502629049305,0.7237756800469803
"OptBlend-Cal All11+Odds (XGBoost=0.039, LightGBM=0.009, CatBoost=0.176, LogReg=-0.089, XGB_top60=0.050, LGB_top60=-0.041, CAT_top60=0.115, XGB_top30=0.014, CAT_top30=-0.056, RandomForest=-0.022, ExtraTrees=0.013, odds=0.792)",0.680350687622217,0.5981012452815682,0.20610064663164257,0.7229844549822979
"OptBlend-Cal Best6+Odds (XGBoost=-0.049, CatBoost=0.179, XGB_top60=-0.072, CAT_top60=0.026, RandomForest=0.172, ExtraTrees=-0.001, odds=0.746)",0.6842183591205837,0.5986077938669832,0.20634136655547902,0.7226213223890696
"OptBlend-Cal Mixed+Odds (XGBoost=-0.085, CatBoost=0.172, XGB_top30=0.020, CAT_top60=0.003, RandomForest=0.153, odds=0.738)",0.6848193206590453,0.5986339071814559,0.20633067814863593,0.7228927617848715
"OptBlend-Cal GBM+RF+Odds (XGBoost=-0.078, CatBoost=0.175, RandomForest=0.163, odds=0.740)",0.6848193206590453,0.5986370639659158,0.20634150761122794,0.7230121218787654
"OptBlend All9noLR+Odds (XGBoost=-0.161, LightGBM=-0.078, CatBoost=0.286, XGB_top60=-0.436, LGB_top60=0.119, CAT_top60=0.290, XGB_top30=-0.022, CAT_top30=-0.222, RandomForest=0.286, odds=0.938)",0.6775204682817403,0.5986984378212452,0.20665866429761687,0.7231886275177082
"OptBlend All11+Odds (XGBoost=-0.217, LightGBM=0.044, CatBoost=0.260, LogReg=0.001, XGB_top60=-0.308, LGB_top60=-0.071, CAT_top60=0.318, XGB_top30=-0.074, CAT_top30=-0.222, RandomForest=0.408, ExtraTrees=-0.049, odds=0.911)",0.6770298874340166,0.5987050715269597,0.20666341920812287,0.7226001099838764
"OptBlend Mixed+Odds (XGBoost=-0.338, CatBoost=0.219, XGB_top30=-0.411, CAT_top60=0.085, RandomForest=0.524, odds=0.921)",0.6776947240930067,0.5987327467306138,0.2067144144649632,0.7223064416162793
"OptBlend-Cal 3GBM+Odds (XGBoost=0.048, LightGBM=-0.010, CatBoost=0.194, odds=0.768)",0.6817106069470864,0.5988037470187092,0.2063107566165156,0.7230526661697534
"OptBlend Best6+Odds (XGBoost=-0.264, CatBoost=0.205, XGB_top60=-0.402, CAT_top60=0.151, RandomForest=0.505, ExtraTrees=-0.079, odds=0.885)",0.673844349259356,0.5988237434295006,0.2066539465536575,0.7229056227849707
Cal-Blend CatBoost (w=0.220),0.6817474005106656,0.5988299336397358,0.20633583613014078,0.7231879159077779
"OptBlend-Cal Top60+RF+Odds (XGB_top60=-0.048, LGB_top60=0.018, CAT_top60=0.083, RandomForest=0.166, odds=0.782)",0.6809484118251352,0.5989284006642118,0.20635522575346638,0.7225145534803203
