max_net_adj,impact_col,min_starts,min_absences,conf_floor,swing_threshold,matches,base_correct,adj_correct,base_acc,adj_acc,delta,swings,swing_correct,swing_wrong,swing_acc,matches_with_adj,direction_correct,direction_rate
0.03,elo_adj_impact,10,3,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,949,443,0.46680716543730244
0.03,elo_adj_impact,10,3,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.05,elo_adj_impact,10,3,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.075,elo_adj_impact,10,3,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,92,40,52,0.43478260869565216,949,443,0.46680716543730244
0.1,elo_adj_impact,10,3,0.5,0.3,1137,792,780,0.6965699208443272,0.6860158311345647,-12,92,40,52,0.43478260869565216,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,92,40,52,0.43478260869565216,949,443,0.46680716543730244
0.125,elo_adj_impact,10,3,0.5,0.3,1137,792,777,0.6965699208443272,0.683377308707124,-15,121,53,68,0.4380165289256198,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,38,17,21,0.4473684210526316,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,68,32,36,0.47058823529411764,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,92,40,52,0.43478260869565216,949,443,0.46680716543730244
0.15,elo_adj_impact,10,3,0.5,0.3,1137,792,770,0.6965699208443272,0.6772207563764292,-22,146,62,84,0.4246575342465753,949,443,0.46680716543730244
0.03,weighted_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.0,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.0,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,969,464,0.478844169246646
0.03,weighted_impact,15,5,0.0,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,969,464,0.478844169246646
0.05,weighted_impact,15,5,0.0,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,969,464,0.478844169246646
0.075,weighted_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,969,464,0.478844169246646
0.075,weighted_impact,15,5,0.0,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,969,464,0.478844169246646
0.075,weighted_impact,15,5,0.0,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,969,464,0.478844169246646
0.075,weighted_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,969,464,0.478844169246646
