year,n_games,odds_accuracy,odds_log_loss,baseline_accuracy,baseline_log_loss,enhanced_accuracy,enhanced_log_loss,player_in_top
2023,208,0.6923076923076923,0.5859819822786293,0.7115384615384616,0.578742966557228,0.7067307692307693,0.5269389473773091,12
2024,208,0.6201923076923077,0.6405796344570563,0.6490384615384616,0.6273658002998346,0.7211538461538461,0.5736028979771768,15
2025,208,0.6586538461538461,0.657874636265643,0.6346153846153846,0.633226814920406,0.7115384615384616,0.5278895542987653,14
