Model,Accuracy,Log Loss,Brier,AUC
"OptBlend V4-All9+Odds (XGBoost=0.402, LightGBM=-0.093, CatBoost=0.538, LogReg=-0.032, XGB_top50=0.332, LGB_top50=0.147, CAT_top50=0.527, RandomForest=-1.212, ExtraTrees=-0.010, odds=0.401)",0.7039109982652868,0.5639222183613977,0.1910252927635918,0.7596661076281472
"OptBlend V4-Best5+Odds (XGBoost=0.100, CatBoost=0.785, XGB_top50=0.630, LGB_top50=0.469, RandomForest=-1.375, odds=0.390)",0.7063056090637468,0.5652495512563638,0.1917338920145064,0.7580302205520998
"OptBlend V4-Top50+RF+Odds (XGB_top50=0.568, LGB_top50=0.229, CAT_top50=0.779, RandomForest=-0.960, odds=0.384)",0.7008057722910552,0.5653403745222297,0.19165741070225842,0.7574098608426522
"OptBlend-Cal V4-Top50+RF+Odds (XGB_top50=0.121, LGB_top50=0.392, CAT_top50=0.575, RandomForest=-0.450, odds=0.362)",0.6992950359501575,0.5670846708974818,0.1930603670157588,0.7578084472063646
"OptBlend-Cal V4-All9+Odds (XGBoost=0.272, LightGBM=0.036, CatBoost=0.136, LogReg=-0.015, XGB_top50=0.148, LGB_top50=0.205, CAT_top50=0.434, RandomForest=-0.794, ExtraTrees=0.112, odds=0.466)",0.7033909806024825,0.5675559769710733,0.19326372130516695,0.7577739953298108
"OptBlend-Cal V4-Best5+Odds (XGBoost=0.246, CatBoost=0.173, XGB_top50=0.284, LGB_top50=0.481, RandomForest=-0.584, odds=0.400)",0.6898196157040163,0.5697408235865613,0.19436584145534658,0.755048084434781
"OptBlend V4-All7+Odds (XGBoost=-0.590, LightGBM=-0.027, CatBoost=0.413, LogReg=-0.027, XGB_top50=0.090, LGB_top50=0.262, CAT_top50=0.949, odds=-0.071)",0.697407897237969,0.5698493343905636,0.19352719742289004,0.7552530107295636
"OptBlend V4-GBM+RF+Odds (XGBoost=1.027, CatBoost=1.006, RandomForest=-1.515, odds=0.481)",0.6991983091624243,0.5699216987514225,0.19376112835495407,0.7554473937929315
"OptBlend-Cal V4-All7+Odds (XGBoost=-0.114, LightGBM=-0.100, CatBoost=-0.036, LogReg=0.012, XGB_top50=0.008, LGB_top50=0.432, CAT_top50=0.621, odds=0.177)",0.6961754048663695,0.5710687688515208,0.194493075575682,0.7538639066354598
CAT_top50,0.6933905412031698,0.5714587199144565,0.19420409528918814,0.7551554511708576
WF-OptBlend WF-All9+Odds,0.7116738265846101,0.5732911982377874,0.19420301137039359,0.7522827667897634
LGB_top50,0.6969741257363795,0.576683685447201,0.19627894852823308,0.7523698815552251
"OptBlend-Cal V4-GBM+RF+Odds (XGBoost=0.742, CatBoost=0.453, RandomForest=-0.685, odds=0.489)",0.6909554715868226,0.5771962695844917,0.19782143943439623,0.7495849140277889
Cal-Blend CAT_top50 (w=0.495),0.6977105349655204,0.577869430060309,0.1971993563914761,0.7478934673920619
Cal-Blend LGB_top50 (w=0.495),0.6940628249095984,0.5790316846573125,0.19793601653204296,0.7444617143969267
Stacking (LR-All9+Odds -> LR),0.6913860688173856,0.5793816401152275,0.1972217861669892,0.7525641891714244
WF-OptBlend WF-Best5+Odds,0.705378675207242,0.5801421058331258,0.19410829846274263,0.7516689709400417
Raw-Blend CAT_top50 (w=0.495),0.6967142461863488,0.5803582053185442,0.1979777137336385,0.7471920544167412
"OptBlend V4-3GBM+Odds (XGBoost=-0.170, LightGBM=0.383, CatBoost=0.988, odds=-0.201)",0.6961150903691715,0.5806006324625218,0.19810370359645182,0.7504457241814516
XGB_top50,0.6976738061269852,0.5815461429953643,0.19786516949534416,0.7516419102142715
CatBoost,0.6878038759925018,0.5817369359181824,0.19854358206068595,0.7491857245249883
"OptBlend-Cal V4-3GBM+Odds (XGBoost=0.275, LightGBM=0.262, CatBoost=0.218, odds=0.244)",0.681681298409957,0.5828512112532036,0.1994170766305992,0.7469116088915448
Cal-Blend XGB_top50 (w=0.495),0.6912929755385863,0.5831762164695345,0.19939512991366928,0.7408590001840808
Raw-Blend LGB_top50 (w=0.495),0.6954689819891565,0.583670923230387,0.1993587470649687,0.743357984103752
LightGBM,0.6942382779255045,0.5840239284979156,0.19935462855371422,0.7473467026854448
XGBoost,0.6894220235041146,0.5854882568316204,0.19985228590667248,0.7475242897345448
Cal-Blend XGBoost (w=0.495),0.6872059742730029,0.5862065958482341,0.20108809645081027,0.7399773484522607
Cal-Blend LightGBM (w=0.495),0.693803082970215,0.58703622334327,0.20098101643504646,0.7379869347453585
Cal-Blend CatBoost (w=0.495),0.6923290274013598,0.5870516855673785,0.20135094857822602,0.7388498071876911
Raw-Blend XGB_top50 (w=0.495),0.6935319453472314,0.5875514083663065,0.200790028550777,0.741692830456911
Raw-Blend CatBoost (w=0.495),0.6948493234908626,0.5879139941887344,0.20124015109956417,0.7396621322939297
Raw-Blend LightGBM (w=0.495),0.6960256381915562,0.5882483308326194,0.20132995812348253,0.7390538284715702
Raw-Blend XGBoost (w=0.495),0.6924921379312099,0.5896963536446984,0.20187819111679267,0.7387012960096416
Stacking (MLP-All9+Odds -> MLP),0.6844706852517526,0.5913747346802299,0.2027313944539052,0.7472989796638398
Cal-Blend RandomForest (w=0.275),0.6802158935932121,0.5993796993023345,0.20651565734153055,0.7224917141437353
Cal-Blend ExtraTrees (w=0.265),0.6780717719654127,0.599748718746608,0.20661501854847245,0.7221970528210908
Raw-Blend RandomForest (w=0.255),0.6820047188794243,0.6006135315278527,0.2068078259791808,0.7222365371016
Raw-Blend ExtraTrees (w=0.055),0.6809337104934983,0.6012344349939194,0.2071149297903162,0.7205061014524092
Raw-Blend LogReg (w=0.005),0.6802991927270008,0.6012790917816945,0.2071633293835226,0.7202295413235738
Odds Implied,0.6815682282599957,0.6012808523428074,0.2071624808058402,0.7206585742684234
Cal-Blend LogReg (w=0.005),0.6802991927270008,0.6013129901807872,0.20717003327365235,0.7204204190691873
RandomForest,0.6772468117099321,0.6053344707494689,0.20861702413964678,0.7233947497350619
ExtraTrees,0.6744519856379183,0.6126321746502054,0.2115451890301962,0.718881507941755
Stacking (MLP-Best5+Odds -> MLP),0.6718461384554992,0.6147977794509043,0.21261175547287475,0.7299151331919499
LogReg,0.5851578954395559,1.014253191847292,0.3041729857377031,0.6424093861000822
